Metric,Dataset,harmonypy,harmonypy_scale_ilisi,harmonypy_scale_pcr,harmonypy_sel67_ilisi,harmonypy_sel67_pcr,pca,pca_scale_ilisi,pca_scale_pcr,pca_sel67_ilisi,pca_sel67_pcr,sca,sca_scale_ilisi,sca_scale_pcr,sca_sel67_ilisi,sca_sel67_pcr,scanorama,scanorama_scale_ilisi,scanorama_scale_pcr,scanorama_sel67_ilisi,scanorama_sel67_pcr,harmonypy_sel50_ilisi,harmonypy_sel50_pcr,pca_sel50_ilisi,pca_sel50_pcr,sca_sel50_ilisi,sca_sel50_pcr,scanorama_sel50_ilisi,scanorama_sel50_pcr,concord,concord_scale_ilisi,concord_scale_pcr,concord_sel50_ilisi,concord_sel50_pcr,concord_sel67_ilisi,concord_sel67_pcr
ari,dkd,0.7656921036582633,0.7529369419494453,0.75545813993474,0.050576618301812454,0.019314979346080494,0.6392992921645152,0.7584250957467615,0.7562913492115422,0.047714877391299475,0.1545799081865225,0.6432243282762519,0.8180871641237311,0.7602775734207848,0.6072518759872035,0.7112516460985934,0.7635773180062192,0.7611172448858491,0.7626690163305692,0.8066118496123912,0.8150836526809269,0.026108613316402827,0.014445364894094377,0.030607628456004635,0.021003509241256477,0.48497382082672674,0.639151888519551,0.7921291447551796,0.7463259912244404,0.7467004788311483,0.6842842152210475,0.6837569347488294,0.7555084560346947,0.681430694664202,0.6816498680227625,0.7450289910908291
ari,gtex_v9,0.6306854832187516,0.30348363904911096,0.45910182044977005,0.03465506377507804,0.032301814010730845,0.7019856768919862,0.4329718726160135,0.6473847429631188,0.056528295082649276,0.07626380487220538,0.7040105279712117,0.6589206624409807,0.7228610373206658,0.3232333454815407,0.47780887197281413,0.7351119205156947,0.7443437776699391,0.752957424994332,0.3255824344123241,0.35883325903931873,0.040805214555368265,0.014543464876140689,0.06626336139070048,0.05347692834615582,0.27783095946514025,0.4539618302308275,0.2713256306392513,0.2998347174857467,0.6909820286856437,0.6695048036592812,0.7071343943706349,0.6517170299155272,0.6444832633693652,0.6804292470802521,0.6520402057915062
ari,hypomap,0.28363000291064644,0.29984948915832543,0.2865945231105888,0.2681050045582994,0.3177378353486257,0.2780819388056056,0.31344001888111644,0.31243545823537094,0.0795759284918275,0.37106838347376037,0.2730653845600728,0.29188914272751687,0.30380876659598055,0.5465534297606068,0.376710904945335,0.2614698987714879,0.3296956285614241,0.3031587533266073,0.6942995731406942,0.4467165254109267,0.10630481693380887,0.1157319429720233,0.0559323764173276,0.37190431174887745,0.5529889464110201,0.41337545395675107,0.8039538129348589,0.47412113203654577,0.18998357017256715,0.19234427442675675,0.1954925687101174,0.20829492926695303,0.19642393231526328,0.20323153510602252,0.20230363137910468
ari,immune_cell_atlas,0.555802471588382,0.4228633969203214,0.5240526277241395,0.0757531699265475,0.03778254625817354,0.39256151460606603,0.32293328966259915,0.37994331180087376,0.03925820639681405,0.03889947024259632,0.39047519314899526,0.38103057206922736,0.4041045557953439,0.2905114359848508,0.30233468010310693,0.5401727234775254,0.5662565156614671,0.5724439686796666,0.40750053824556287,0.3015123142859916,0.06559380755080699,0.03359239293005116,0.03106704502704406,0.03483919717344924,0.18134506633122235,0.3057913118312605,0.2647059966108498,0.09771773915472842,0.7224960698718664,0.6872343368483864,0.7184500048857421,0.6806102046532168,0.7275644296425641,0.7074177593946784,0.6987136090904998
ari,mouse_pancreas_atlas,0.7989404971493164,0.7046125377443944,0.7829999393573713,0.12954152101332037,0.10584839278953911,0.36281849191784427,0.3110463142642059,0.39226756078203034,0.08023208917586654,0.08069513621255556,0.332031995301145,0.35659250060898695,0.3329057519848834,0.413425409705636,0.42437731782043414,0.32649311681720283,0.32379222754485254,0.3334550130584538,0.2920157937986271,0.29189900443120265,0.1004169426015552,0.06767396137937523,0.07223886420424545,0.06425123043817718,0.33013828290383956,0.5445939232643535,0.25279125749779136,0.2544279942188813,0.7840037569855951,0.8329099125238195,0.8458548494800442,0.8337502991487964,0.8535053992596608,0.8371272319648925,0.8358623838097329
ari,tabula_sapiens,0.4285150475883124,0.40602464969860574,0.40053635791787867,0.12638026088005525,0.13512078200284278,0.40943333103004553,0.37375791875455533,0.37479989466112323,0.09478350587939662,0.10079163013168502,0.38947994432185074,0.37049981111220937,0.40516574459576815,0.319149753946631,0.3740171101025319,0.42642787809254035,0.4317251598280769,0.4386183799723524,0.4351667398837492,0.41900541083165077,0.1200781502492558,0.10609840814465851,0.07600203709007225,0.06791506535211411,0.3365440932717111,0.3646812536064754,0.3645092469033216,0.4509157122231264,0.46137291399119534,0.47585722504373623,0.4451648800085939,0.46448495237573595,0.46038269849066676,0.4621693215758943,0.4699280581150425
ari,celegans_embryo,0.7349242755951355,0.7495481277683019,0.6930656830446085,0.3976437113621244,0.3409754923315775,0.7076175578458556,0.7149072236470269,0.7142378263011345,0.4845393246646406,0.2463164044663968,0.7149606883164109,0.7243457522567206,0.7408755494049932,0.6389666267387129,0.7008166238503634,0.453600169165202,0.5878591120393934,0.7474017239595848,0.4720441805433181,0.6817029377708638,0.4326126211045108,0.2789004291143094,0.2943253702280342,0.2617144235969555,0.660543063229635,0.5881738268613356,0.4222516110960902,0.691713066249107,0.4092317041987006,0.3887674164290382,0.4163391498717559,0.4096642414612648,0.3872411644194454,0.4018698979292705,0.3513457162035882
ari,ocular_atlas,0.5865778211338787,0.5716184617982676,0.5907218218167147,0.06786087791859347,0.027571137271651405,0.6671939493296183,0.6544379345942426,0.6221592785998475,0.04009975814534292,0.1490835492940658,0.6496430737220058,0.6438183913326793,0.6325484675475582,0.5931372141973204,0.6335439252881943,0.623949802350386,0.6804745172419201,0.6146723658907728,0.588940433227286,0.6204071121165716,0.05854525614314658,0.011754511355152418,0.012265049284827825,0.013952717414178752,0.44740758848973144,0.5798781908631867,0.5265341432950228,0.6294958410130503,0.619945331985697,0.6402256331239706,0.6380115047925125,0.6493204832676018,0.6272154519385962,0.6435932320727952,0.643734189380429
ari,tabula_muris,0.6829994402650147,0.687399323946077,0.6866126195716957,0.305652450317889,0.22715103712249807,0.7341842953247274,0.7074168655012996,0.7390270674125151,0.2762160454103295,0.36024793998010063,0.7275412399913215,0.7464711534391647,0.6926508584727248,0.647949779119527,0.7599581188203351,0.6185669584692548,0.6769846089871822,0.6358710567484441,0.5665111911470643,0.6403258900420602,0.18732348627639536,0.13837543691668247,0.2006540290327706,0.34710666128162415,0.662876405642772,0.6836911087768551,0.5807043519221438,0.6419817333083403,0.7205890776927123,0.6969247658891339,0.6622333502515879,0.6547615303899638,0.6876778720513942,0.688521336718284,0.6864367924185479
ari_batch,dkd,0.8225048133276738,0.8303024345267747,0.8320241805766153,0.969959440043846,0.9900081053551401,0.6808701504127057,0.8325828875147496,0.830597199731254,0.9728211380189299,0.9321024335623944,0.6881580687025529,0.8329236799359866,0.8360171118944647,0.8403077326669003,0.8568704536490293,0.8350889665507656,0.830605312234786,0.8305613032635021,0.8366242192042369,0.8316919970888511,0.9789847257359007,0.9922874058781427,0.9890548976101109,0.9790488202218813,0.9002906885979797,0.8537481667306831,0.8385985962688685,0.8404732135032495,0.8446182148666073,0.854323047347103,0.8623376389995315,0.8564092494918174,0.8651427083815921,0.8459363099501613,0.8536682116048514
ari_batch,gtex_v9,0.6564431216067336,0.7115688698496646,0.6963119286067226,1,1,0.4500147212563506,0.5398185816272735,0.39071076273998184,0.928858901382863,0.8885781390146414,0.4552827438624733,0.46349207475797033,0.4450612124934452,0.6371509365909221,0.5892990058003426,0.4873275163626265,0.4680356960092343,0.4793258632037442,0.7470723386630761,0.714174709113276,1,1,0.926430159974403,0.9412406017236666,0.7012700970454399,0.6242129736672246,0.7768916975538648,0.7137331007627983,0.5857439675298509,0.5959240206365741,0.5748918449534868,0.6294243364923285,0.6555804861592951,0.6144266075385433,0.668689800533037
ari_batch,hypomap,0.9150463798527295,0.9612389363725261,0.9224970842072602,0.8164433496079215,1,0.9261135505536657,0.90740917243707,0.9004053532498801,0.6392121658852609,1,0.8941609892148699,0.7755120463387997,0.8890070026148784,1,1,0.8272766879235129,0.7437994017804302,1,0.9740214652916437,1,0.833573251995027,1,0.6021591184939579,1,1,1,0.9860811339992855,1,0.7804790664936088,0.7913751438575144,0.7991854647568652,0.839207638771123,0.8271903670095105,0.8287057448790403,0.818419700895041
ari_batch,immune_cell_atlas,0.8586531937093267,0.9453355042283093,0.8807933190143475,1,0.943142386822308,0.3403416774029097,0.6756257077313527,0.8060484783215341,0.9080006287126366,0.907963592375548,0.43245263879846657,0.8179558289244855,0.8242960360041401,0.6424567379264702,0.8971936169498127,0.857406639977561,0.8577994623122741,0.85332378747183,0.8866165753816454,0.9122775931334617,1,0.9862110620253903,0.9057324846543057,0.9128345276255644,0.9296255788758383,0.9245267743993638,0.9175771217363158,0.9994475003206283,0.8627349319753427,0.8370079934112814,0.8525834210430939,0.8316936609851882,0.8651004960025718,0.8568936842381282,0.8352561785859233
ari_batch,mouse_pancreas_atlas,0.8931072530878086,0.9039887345623927,0.8970626097092281,0.9932353395174467,0.9923023461827076,0.2588310185093297,0.2771372203249296,0.35455451918466707,0.9921903340841233,0.9915009159430084,0.22811917092057338,0.2907271680719419,0.23410709469686483,0.6061078392756659,0.5489277593538116,0.13185740048812103,0.12989157290357425,0.16444111020683133,0.8364558467370494,0.8369420880817772,0.991827781028014,1,0.9940875035562889,0.9949596503868718,0.6172086573073926,0.7191787128550923,0.9365439572234686,0.8867189109610367,0.7784527480928,0.8047691716402611,0.7992627044258634,0.8080225424308898,0.8229179835145867,0.8057645668012625,0.8059250638058271
