Metric,Dataset,harmonypy_scale_pcr,harmonypy_sel50_pcr,harmonypy,liger,liger_scale_pcr,liger_sel50_pcr,nmf,nmf_scale_pcr,nmf_sel50_pcr,pca,pca_scale_pcr,pca_sel50_pcr,sca,sca_scale_pcr,sca_sel50_pcr,scanorama,scanorama_scale_pcr,scanorama_sel50_pcr,scvi,scvi_scale_pcr,scvi_sel50_pcr,seurat,seurat_scale_pcr,seurat_sel50_pcr,harmonypy_scale_ilisi,harmonypy_sel67_ilisi,harmonypy_sel67_pcr,liger_scale_ilisi,liger_sel67_ilisi,liger_sel67_pcr,nmf_scale_ilisi,nmf_sel67_ilisi,nmf_sel67_pcr,pca_scale_ilisi,pca_sel67_ilisi,pca_sel67_pcr,sca_scale_ilisi,sca_sel67_ilisi,sca_sel67_pcr,scanorama_scale_ilisi,scanorama_sel67_ilisi,scanorama_sel67_pcr,scvi_scale_ilisi,scvi_sel67_ilisi,scvi_sel67_pcr,seurat_scale_ilisi,seurat_sel67_ilisi,seurat_sel67_pcr,concord,concord_scale_ilisi,concord_scale_pcr,concord_sel50_pcr,concord_sel67_ilisi,concord_sel67_pcr
ari,dkd,0.7836999944677849,0.07760312225285239,0.7606259148198208,0.7432875356049864,0.7335180872110562,0.11319891837003314,0.5735349854123987,0.652654334216193,0.6219463298441334,0.6471490047292755,0.7258530502757055,0.7063183541517368,0.56268672269452,0.6241487498197573,0.7508164354825764,0.7625506403919377,0.767476721255964,0.6986746091354346,0.8300014035858386,0.7556922518449614,0.18944780056895755,0.6896876898014938,0.7111212258168893,0.6533174844341005,0.7551835998789455,0.08914640022027914,0.2597995738528235,0.7071650073441024,0.6952357826715305,0.2323975866447782,0.6507261909420693,0.5618433246792501,0.6821495973622217,0.7599586231639213,0.2262194289067391,0.7201597394386705,0.600106479334192,0.6835865311055022,0.7587723990176426,0.7582676144248658,0.6405882634822917,0.8032743357166732,0.8165970965577247,0.10805549417835111,0.6113984520008222,0.7007533011868197,0.7084537189703543,0.6554548693188408,0.6906667651452931,0.6857140242632561,0.6886567370839737,0.6625946548035956,0.6660785317108421,0.6840889770466744
ari,gtex_v9,0.6219019523095026,0.36124113095654053,0.6307998372679291,0.5607380254648947,0.5724969642981045,0.19708414728504012,0.7106295172454268,0.6787610830886446,0.3980127080671675,0.6961429794934412,0.6970542914869919,0.6834049210528947,0.6690491854627675,0.6941186555508776,0.6505518800771543,0.6837936718418489,0.6876880546112217,0.4505329538420201,0.6871981325751444,0.6463862347215061,0.21631227847582982,0.5098422630198423,0.4984118495028365,0.4885260932306157,0.5758275610639338,0.4458004501060136,0.4267955704949805,0.5540427410412513,0.5043052581566134,0.20991255448440477,0.6026496053135284,0.5372446594525058,0.5055101781271769,0.6894952498974432,0.6441310382987971,0.6718501169203239,0.7015591885792242,0.6328109715761565,0.6996198272318689,0.6852266289720257,0.5685169360912848,0.6900305541200236,0.6564197138607083,0.279417685837888,0.6171118059332245,0.49337803788695217,0.47965912544512873,0.46684283294979007,0.6417756531012898,0.6593985062407905,0.6508547984241172,0.5537911760291725,0.6442186552033831,0.6160539220102309
ari,hypomap,0.6524048902357718,0.6369100175130683,0.5299474876199338,0.23952897376681956,0.27763792974532553,0.2080380815664482,0.3057050197266168,0.30367299794538627,0.6540958880093655,0.28101746313132797,0.281992681632653,0.4075914917857093,0.30449622706187873,0.296418387621423,0.3153736493680388,0.2593838076019139,0.27398106926870863,0.4793129752093009,0.23530878247748316,0.24289350906855336,0.44933107838122405,0.3010947326625978,0.2988921368348867,0.6020759037944701,0.5280984625469882,0.795816926543318,0.6966093855231651,0.24860015411399475,0.24368293237269603,0.17829106424197752,0.3030815864958427,0.4214644273919473,0.6165645145179027,0.2533140173226114,0.2733242399788715,0.2950609219762301,0.30325258991376214,0.24683754786351297,0.3083770763128666,0.2500598748046987,0.8285425292332513,0.384423383508075,0.24441981657135645,0.3912989644760864,0.2569211116767101,0.2894315909693365,0.5356464805703091,0.4998781626265603,0.207963061872831,0.22171857268505654,0.21957874605869906,0.18067103458859243,0.22539771830333455,0.20350760681734098
ari,immune_cell_atlas,0.5890188122217435,0.21095899132904863,0.5979233481171888,0.5319201461504096,0.520935570845593,0.13020423802039688,0.4413787824485853,0.45736806796336205,0.48596524366484856,0.4045078288204441,0.43116885903380237,0.40991570372345193,0.39445731858967337,0.45030058441489873,0.46430570801944526,0.6065891584994147,0.548109975812137,0.527959053331955,0.7061415948172676,0.6434205553808285,0.3296821887178645,0.689051766263391,0.6667691158679774,0.6428904885376551,0.6212245082420892,0.389269649257639,0.26348168649822407,0.5147583605151954,0.4261439136825014,0.19689852248009015,0.46436951876844057,0.43696241842133887,0.5478433386339929,0.44731900362178095,0.38681692679456814,0.49421200052124425,0.4058305686307359,0.418140154779272,0.477742669854802,0.5826439632913233,0.46563733825799014,0.5410619485152771,0.6895842010325434,0.4440240074560077,0.567202948209932,0.6771112300744205,0.6235187220095987,0.6537412459259383,0.7130286808682234,0.7240667444701441,0.7004376753194012,0.6817699966034718,0.7195803207996265,0.6623083356182118
ari,mouse_pancreas_atlas,0.8036159730220935,0.47827470175376213,0.8234072477614712,0.6337496321609702,0.6210794226894157,0.19202577703194507,0.37708097015682474,0.46142393608514787,0.4988023419292396,0.3405038075796832,0.37048203865909773,0.6291472025139494,0.3678690173878351,0.34699690593349647,0.49670833269941017,0.44297322762541663,0.48576705271462095,0.5455991598133041,0.8661867524575221,0.8494693289664668,0.4900745333325178,0.5596526819026139,0.6196099562544691,0.5834610055676691,0.8002459408423372,0.4127228962230048,0.5169823403838572,0.6372834877225099,0.5193325072405165,0.2531209401526974,0.4585825812415993,0.3810014232698675,0.7485530640347465,0.3132161631741651,0.2813799144471108,0.5206427666429513,0.34615253674523316,0.3972445784761303,0.4254320541356439,0.4233099209867111,0.4264208530961787,0.5471756878521206,0.854639944739603,0.7503895864348913,0.7913142176084171,0.627785783107705,0.5674286985451977,0.6117828476182247,0.7694664612925395,0.7978280384425623,0.8610177353482766,0.734808213493138,0.8402232522160699,0.8472895880203645
ari,tabula_sapiens,0.39239370858088973,0.34030271387729455,0.41848888148228647,0.40668281186519795,0.3993623553936655,0.1717786718784375,0.43839248221970334,0.42461340539224174,0.32729626232015524,0.44779925065562415,0.44285472818879745,0.45759777329849655,0.44304954541166486,0.4557940275258537,0.4609034871314849,0.44990276377881167,0.4609218344516506,0.46452232819522843,0.43011235826505795,0.46847997030017247,0.45707752218168024,0.4148521995215645,0.4008520888336925,0.36633532143400865,0.43014075523880285,0.39237691975218875,0.3907421235942182,0.38914684098088853,0.2713738192307377,0.2447265909843789,0.44227849405977243,0.36324022074058043,0.3800172290453389,0.445648172994913,0.4387012592929286,0.460834729050589,0.4618321753017102,0.46212357587600444,0.45490490248607496,0.4567453167858932,0.4512814156255069,0.41789008962085455,0.45487809360687825,0.450009306223482,0.4558888274721731,0.38982122761297094,0.3857622054967181,0.37075570094230814,0.45668562487877457,0.46930098165434597,0.4583472251138971,0.4140781741918154,0.46360644278113955,0.4315915127297989
ari,celegans_embryo,0.602010042554275,0.6566479577521702,0.5999107935832254,0.3927830789005719,0.40642358609271934,0.08307787850331777,0.6152034445443318,0.6717802482436496,0.39864979638404285,0.5542438371848546,0.5659114147262647,0.5078036313213006,0.5180249974961005,0.5770268011693017,0.5196803305843292,0.47226574573631147,0.5727933289077676,0.6272555954054367,0.7040051523699077,0.7675782393205689,0.593888810471342,0.58258779210857,0.5656082895414558,0.5388112785477789,0.7358147937512733,0.5606785414004319,0.47101084171526003,0.3925685898051531,0.3165298607881854,0.1473021936213211,0.561482061609574,0.41687219722259444,0.37838875761395213,0.740392385687243,0.6877970522355926,0.6179617205103584,0.6548896955558576,0.6481047583318059,0.5346388220966597,0.5542263234749175,0.6032143059398819,0.5535960497707774,0.7512773832788568,0.752283385606003,0.6679117958982494,0.6048702291344373,0.5932358200641265,0.6037222749830726,0.4065953364478585,0.42772203035511813,0.40730197997667883,0.35109080059624564,0.33601851751403383,0.35693868299396575
ari,ocular_atlas,0.5356535568384976,0.4018898932938656,0.5402128588814152,0.4868079988754966,0.4750895413094629,0.14280792193911787,0.6374837701658623,0.634403192719595,0.15003430942900794,0.648917907976789,0.6598847249848443,0.661071616462197,0.6485966082475214,0.6769585224901385,0.6508036031063332,0.6720966817861616,0.6720135655963778,0.6514226495572036,0.7017175658981704,0.6817393552116094,0.5811387400793292,0.39683346652488355,0.37481744752289087,0.2559169827610257,0.5451077293318463,0.5544858595428795,0.5596501507004522,0.48369371948208467,0.3782484474041678,0.3316158604265151,0.6351821127725336,0.28158003173315826,0.2913171606721282,0.6598957375286294,0.6615588305212486,0.664532826437726,0.6631353321966963,0.666690271732405,0.6752979271704489,0.6713482540762279,0.6603352392161372,0.6687243715898026,0.6667619187968605,0.6882964158291416,0.643654146413551,0.37060747826588136,0.35446717031693203,0.33757564366007037,0.6210053072656786,0.6172647914706273,0.6114888833428419,0.5779151382095239,0.5874837694601056,0.6142989324089028
ari,tabula_muris,0.6778764131688408,0.6020885182791178,0.6641229621431904,0.5513232598767267,0.5373516529696994,0.1207150154562492,0.7125781812263057,0.7660839366167385,0.18253709850274097,0.6710659431525151,0.7132654864085659,0.7174166412298952,0.6675211682058153,0.7299187380091613,0.7431576593718318,0.605992936568571,0.6317232208449032,0.6906815996816807,0.6752697840690917,0.6697201457027792,0.6313420946958992,0.5530070775024141,0.5779301011738993,0.5615863839495068,0.6588185445141851,0.5975222933974798,0.6155545354056277,0.565746170580744,0.5022382571906356,0.2249860461235648,0.6945042651000874,0.3660813580283778,0.35050122745883333,0.7238534427722689,0.6967900230290232,0.6978076739759758,0.7357852035157891,0.7288772971795823,0.7536569239212558,0.6259851645777124,0.6401232171433927,0.6898940355889525,0.6693973719168396,0.6904550840125346,0.6987571128722359,0.5855832366270209,0.5707408805411038,0.549831973952983,0.6867812855140722,0.6792471920777042,0.6850284249707784,0.5694512894751638,0.6471556157737932,0.6311529721656213
ari_batch,dkd,0.8257136823487762,0.9337363580415328,0.8357974562176702,0.8570927691872506,0.8573512164450798,0.9774897483746076,0.6243313223543481,0.6941284859653261,0.8291169312079463,0.6850049261770689,0.7958721983496342,0.8334941801316663,0.5584482270603796,0.6557236530122169,0.8248512671986061,0.8379529423616713,0.8370256324722923,0.8766164336135834,0.844226857549115,0.8878241278175313,0.9762055092993499,0.859364048465154,0.8497280178926193,0.8732393493180979,0.8374049063010383,1,0.9291091243291131,0.8638261492779927,0.8663012626767217,0.9647154523718272,0.6889932645985484,0.7822034660594378,0.8531207205597159,0.831345547297352,0.9451994871765346,0.7956862127289103,0.5461239769906261,0.7158960006389733,0.8317098643968253,0.8291986963959959,0.8165151171925434,0.845298435490378,0.8549927869510829,0.9876921616684134,0.9169907362951359,0.8505588152418125,0.8618318334260856,0.8751434580543266,0.8427727760385283,0.8555080617751479,0.8536048082218551,0.853981207294355,0.8591065758208096,0.8502751652138265
