Metric,Dataset,harmonypy_scale_ilisi,harmonypy_scale_pcr,harmonypy_sel50_ilisi,harmonypy_sel50_pcr,harmonypy,liger,liger_scale_ilisi,liger_scale_pcr,liger_sel50_ilisi,liger_sel50_pcr,nmf,nmf_scale_ilisi,nmf_scale_pcr,nmf_sel50_ilisi,nmf_sel50_pcr,pca,pca_scale_ilisi,pca_scale_pcr,pca_sel50_ilisi,pca_sel50_pcr,sca,sca_scale_ilisi,sca_scale_pcr,sca_sel50_ilisi,sca_sel50_pcr,scanorama,scanorama_scale_ilisi,scanorama_scale_pcr,scanorama_sel50_ilisi,scanorama_sel50_pcr,scvi,scvi_scale_ilisi,scvi_scale_pcr,scvi_sel50_ilisi,scvi_sel50_pcr,seurat,seurat_scale_ilisi,seurat_scale_pcr,seurat_sel50_ilisi,seurat_sel50_pcr,harmonypy_sel80_pcr,harmonypy_seliqr_pcr,liger_sel80_pcr,liger_seliqr_pcr,nmf_sel80_pcr,nmf_seliqr_pcr,pca_sel80_pcr,pca_seliqr_pcr,sca_sel80_pcr,sca_seliqr_pcr,scanorama_sel80_pcr,scanorama_seliqr_pcr,scvi_sel80_pcr,scvi_seliqr_pcr,seurat_sel80_pcr,seurat_seliqr_pcr,harmonypy_subbm_pcr,liger_subbm_pcr,nmf_subbm_pcr,pca_subbm_pcr,sca_subbm_pcr,scanorama_subbm_pcr,scvi_subbm_pcr,seurat_subbm_pcr,harmonypy_sel67_pcr,liger_sel67_pcr,nmf_sel67_pcr,pca_sel67_pcr,sca_sel67_pcr,scanorama_sel67_pcr,scvi_sel67_pcr,seurat_sel67_pcr,harmonypy_sel67_ilisi,harmonypy_subbm_ilisi,liger_sel67_ilisi,liger_subbm_ilisi,nmf_sel67_ilisi,nmf_subbm_ilisi,pca_sel67_ilisi,pca_subbm_ilisi,sca_sel67_ilisi,sca_subbm_ilisi,scanorama_sel67_ilisi,scanorama_subbm_ilisi,scvi_sel67_ilisi,scvi_subbm_ilisi,seurat_sel67_ilisi,seurat_subbm_ilisi,harmonypy_sel80_ilisi,liger_sel80_ilisi,nmf_sel80_ilisi,pca_sel80_ilisi,sca_sel80_ilisi,scanorama_sel80_ilisi,scvi_sel80_ilisi,seurat_sel80_ilisi,harmonypy_selfix10_pcr,liger_selfix10_pcr,nmf_selfix10_pcr,pca_selfix10_pcr,sca_selfix10_pcr,scanorama_selfix10_pcr,scvi_selfix10_pcr,seurat_selfix10_pcr,harmonypy_selfix01_pcr,seurat_selfix01_pcr,nmf_selfix01_pcr,pca_selfix01_pcr,sca_selfix01_pcr,scanorama_selfix01_pcr,scvi_selfix01_pcr,liger_selfix01_pcr,concord,concord_scale_ilisi,concord_scale_pcr,concord_sel50_ilisi,concord_sel50_pcr,concord_sel67_ilisi,concord_sel67_pcr,concord_sel80_ilisi,concord_sel80_pcr,concord_selfix01_pcr,concord_selfix10_pcr,concord_seliqr_pcr,concord_subbm_ilisi,concord_subbm_pcr
ari,dkd,0.763059985615529,0.765560753061985,0.0349242236309456,0.0207083948759746,0.7808155355516573,0.7539659965762511,0.7424246080561132,0.7284910418798988,0.7063328711695699,0.041988512620584,0.6536992917067178,0.6524316161758615,0.6497627393816512,0.5101098829099099,0.7453687774619674,0.6463346766624268,0.7586316149348724,0.7307372068959361,0.0347540063046485,0.5867420499339107,0.6220944983955375,0.6685996843980585,0.6283133606901254,0.6328438928342245,0.7078335421554957,0.7633618420856821,0.7632913903699037,0.7662149087790503,0.6934312349759978,0.783870121054256,0.7609128576181754,0.4945005334507147,0.8087733780851235,0.0601389615641819,0.2150825475585271,0.703814966609102,0.6930596632769858,0.705548934125148,0.6630284591424903,0.5862465013677551,0.0845634415225709,0.0904022612116387,0.3019151921869746,0.6696787170657384,0.7545289900885901,0.7540411599712916,0.8011428816871567,0.7235314565679378,0.7609439735152497,0.6499769465813818,0.758521180459646,0.7562435083163394,0.7478898808972445,0.7980775578023764,0.6658887541259311,0.7117986048866385,0.765868394749863,0.7512769964091023,0.6483352786609422,0.7611564220859913,0.648686715189881,0.7664665252695563,0.7518208086833946,0.691309123672147,0.0665998298791315,0.0966114558422503,0.7524991008822421,0.6815694134641969,0.8026847382033585,0.8106232640279744,0.6577864755308361,0.6561702187028532,0.0518376320693448,0.7672937307229378,0.7230978396455827,0.7528384619065014,0.5664350589506462,0.6527762645880252,0.0545142353059063,0.7634973807712352,0.7206914374162378,0.6296909844641431,0.7557314908837529,0.764804542797284,0.1509852563998828,0.7593907582226734,0.6733870639388571,0.761578524842983,0.073512119624343,0.7440006057841362,0.648080732667656,0.2047492384175646,0.7529527899681102,0.7702780509351387,0.3374786507850346,0.6790240561936082,0.7894142586535688,0.7486297722306118,0.7565019537630301,0.755912134365196,0.7626714099615182,0.7736289565452826,0.8175412909898955,0.703814966609102,0.7385397653836007,0.6680899585763487,0.7453687774619674,0.5867420499339107,0.7078335421554957,0.783870121054256,0.2150825475585271,0.4651028823612956,0.7527376269213761,0.7419358565376363,0.74353735371015,0.6632571829694633,0.689092710886202,0.7289904791405271,0.7336993501963366,0.754236127680133,0.750598591652354,0.689092710886202,0.7527376269213761,0.7527724555870323,0.6915691079960585,0.7518050330818353
ari,gtex_v9,0.4999989717275344,0.5467863949751485,0.0913267049063081,0.0909702115029644,0.6317573347724867,0.5607380254648946,0.5540427410412511,0.5724969642981044,0.4506279155848611,0.1970841472850401,0.7128183353088913,0.68061244152501,0.697974242976702,0.5548717532631786,0.4719602582910716,0.6811013500931966,0.6902293699111123,0.7163974117970819,0.1681520599869834,0.1967423177709396,0.7067689639819431,0.7117271281925508,0.7092715485503711,0.5412983139317908,0.5374546603090021,0.6874612088281196,0.704484725909176,0.6839477655141033,0.2662032889864608,0.2749198968698038,0.710462958289241,0.6923913634115253,0.7056265326952627,0.1243850807531951,0.096984390062083,0.5224865545132481,0.5175760829999633,0.4977146574973312,0.3813557763986474,0.3467837792470428,0.3278427535673218,0.3999693088190219,0.3560635507059296,0.5605487698485886,0.6540665324611403,0.6928700291635665,0.670725288406262,0.7286729121567047,0.6510739720161709,0.7145407396466491,0.7204159946324575,0.6807646576684684,0.69196484357849,0.6916790273862814,0.5027341918368473,0.5155060880708047,0.6606296683878512,0.5266574121801011,0.7132200291001152,0.6235365692791415,0.6727964117777109,0.6883933862560656,0.7111958121766886,0.4927795214310743,0.175032699936157,0.2099125544844047,0.5240909422481085,0.2405095614317677,0.6753652363080458,0.6094736215238742,0.4982581249621151,0.4926251163256686,0.1927410395878511,0.6602091539946245,0.5043052581566133,0.5597095804564814,0.5749532219765929,0.6983216254890775,0.2579871120687917,0.6284627084349378,0.6037726010157064,0.6385924522514264,0.5371792924326572,0.6817415047722566,0.4312921077847966,0.7042568116113863,0.4713701067888627,0.5044668313148281,0.3342855958629007,0.5245159297802025,0.6369293815868365,0.3808324967849924,0.6185139785728311,0.6374075728249659,0.5691466736125278,0.5243213168746331,0.6552341573230146,0.5276650908702816,0.6396199635666598,0.6846774448897848,0.689721509392322,0.698077722438214,0.7103054394581858,0.5224865545132481,0.394254117892878,0.4679732636824157,0.4719602582910716,0.1967423177709396,0.5374546603090021,0.2749198968698038,0.096984390062083,0.1970841472850401,0.6638733567659537,0.6643368027820694,0.6369067883548295,0.6518318272290544,0.6105603475690714,0.6402358891900792,0.6312453238935736,0.6582850227568156,0.6409735711571288,0.6105603475690714,0.6638733567659537,0.6435497191847025,0.6479429244451447,0.6652412190709067
ari,hypomap,0.5924774748537703,0.5874665987142381,0.3927578695838049,0.7171673090509,0.4935078977070634,0.2676650157720328,0.3018011676326561,0.2455801573967169,0.3058915327618077,0.1507570737838907,0.3023369758056601,0.3081539197353833,0.302863662117689,0.3074818367718746,0.7175679983170709,0.2879380253086659,0.3040687498956061,0.2789005426505882,0.1242261913703001,0.1842394221117056,0.2612526685726463,0.2688005415733858,0.2881563386853036,0.4060035678606444,0.4718708401781276,0.2652055222322986,0.252033515595379,0.2642003172572443,0.8413468082168638,0.3316712132563865,0.2355020069845093,0.2572115082256384,0.251524239591576,0.6649089503873432,0.4220455488372652,0.3389773232445607,0.4255832998627167,0.411559058832805,0.5279158408015789,0.226713857913165,0.6339095167541859,0.5858229235483332,0.1380611183293058,0.2504270258498979,0.3226942581015811,0.3093896788118361,0.4065366708158548,0.2972589745598296,0.3260954629705119,0.2852605667999365,0.2596253322566039,0.2747030212340239,0.2889780257709688,0.25251649652271,0.4448252793513224,0.4291524156516809,0.5126480559959028,0.2672979924970826,0.2959338942554165,0.2743880078576769,0.2627822835976308,0.2212050078415573,0.2486496385123886,0.4080070691387797,0.6062150563255192,0.1704147916541353,0.3693672018679639,0.3789530944534487,0.3103436007182762,0.277321077914336,0.3370660421100694,0.5229676658823209,0.6986320015156731,0.4738251498581363,0.28245849430804,0.2620775088554258,0.2536125274362261,0.3176654440582268,0.497981986215184,0.27687699202048,0.4179239933473678,0.2769680708314315,0.6624775318401808,0.2459300199447704,0.5284784626756241,0.2641792073959623,0.5368059260332908,0.4253457755768527,0.7259247320997422,0.2991701451244706,0.2874182134597768,0.3659325621782354,0.3514336013093599,0.7578692197838451,0.4085763637634581,0.5294727503513093,0.4871321534599363,0.2676650157720328,0.2986513410049359,0.2645989140584547,0.2612526685726463,0.2652055222322986,0.2355020069845093,0.3389773232445607,0.473116819236385,0.424942481271613,0.5746643120188313,0.4237431735516566,0.434771723977244,0.2864525036297777,0.2956574168053929,0.2544108332642543,0.195103208422513,0.1902151560870958,0.2035089903907745,0.2250590820316604,0.2040997552306219,0.2122026464215196,0.2000249905797642,0.2012858300906068,0.1949944074955839,0.210098784351234,0.195103208422513,0.2068413802685789,0.1945918049162463,0.1900564670938393
ari,immune_cell_atlas,0.6107301559140764,0.588700505219754,0.1902253787410361,0.0592068357007979,0.6042189150807789,0.4703123375593408,0.4711802633009462,0.4645743552569684,0.3686822448912384,0.0997995867181796,0.4282754444267216,0.4265246585694527,0.4337845827892652,0.4173179598045141,0.5209917296882007,0.407337437003117,0.3594763193792732,0.3991936580335063,0.0781505877102959,0.0599161269560097,0.3908394234140656,0.3874711401593588,0.4016443943605305,0.3056503690911814,0.4339019039167368,0.5211084337076342,0.6010226499695909,0.5634364150021081,0.3118676650589521,0.4239366686423567,0.6896667065384658,0.6886752301875464,0.666785651949235,0.3854995513534985,0.2004930414088381,0.6862152468590149,0.6617631714652733,0.6834374801580541,0.622731138172541,0.4990723853875187,0.2381230555519725,0.2776139060997336,0.2940964894360487,0.3612694501013511,0.5697478560861674,0.5146730301447957,0.3408612090784467,0.5086629484530014,0.4061978212880124,0.4097629214873783,0.5626407689260636,0.5896900321763798,0.5337963233811962,0.6900952721552516,0.6724768981899473,0.6521165525808856,0.5499921672980378,0.4861709752876567,0.4901679811429572,0.4020399170179209,0.4006775561777965,0.520265451807908,0.6660265711359271,0.6322174443615117,0.1812952821171155,0.1450669823001971,0.6538899072580466,0.2862363803332308,0.4295018277374214,0.523768853733953,0.4929944063503947,0.6673282395867459,0.1581301440452234,0.5450569082034266,0.4063049071110886,0.4911385616945742,0.4744166552198112,0.4232768773258243,0.1536208680930958,0.3974558841293185,0.3305006377474265,0.3773033338273997,0.4929860542910969,0.4731540564867754,0.4211518345105248,0.6956430504196319,0.637498597108821,0.6130749311194683,0.2303018261934464,0.4655640356094301,0.4536798474446067,0.2657842234525296,0.3829639221564485,0.5135498357986304,0.5652723453752366,0.6678353227803309,0.6024649024460818,0.4703123375593408,0.5626083781575973,0.4711438782114464,0.4066716435161285,0.6595492402268835,0.6965695589254786,0.6862152468590149,0.5029262509482432,0.6566562727105693,0.5209917296882007,0.0599161269560097,0.4339019039167368,0.4239366686423567,0.2004930414088381,0.3248019284521504,0.6922581572049682,0.7052642058657543,0.7365616928825027,0.6834525572669333,0.699791648504587,0.7095698514868216,0.7035193275774881,0.6939882711791698,0.699071405861033,0.706762288374842,0.6922581572049682,0.6930828354256451,0.6728953383458879,0.6968632297786772
ari,mouse_pancreas_atlas,0.779439040212524,0.8026630856798657,0.1920287724213068,0.1912070642037966,0.822923410514835,0.5944910531478974,0.5909623424334215,0.5210304090896197,0.4836108809451784,0.0917056135659015,0.377276052985031,0.4697357017274974,0.4632994298470804,0.5299280527591655,0.7982980687855818,0.3585183467761348,0.3607366295175612,0.3657577428009717,0.1571549898252921,0.2045963538625954,0.3342602684892268,0.3534243256630592,0.3304415547768508,0.3695804833512284,0.4220936301286492,0.4415020932503367,0.4277274781990308,0.5380012774210072,0.2960555207156284,0.5644195001609916,0.8576045044066792,0.8515032633398874,0.8521542783466806,0.0767906908299167,0.4912201526858931,0.6437218772623696,0.6424748309179069,0.6303358900055733,0.5479652835492861,0.6066662967440177,0.6610694044144151,0.7779946623391037,0.4758479851802755,0.4671445898149208,0.6399441273535991,0.4702134736567601,0.4803538016213961,0.4009051229455456,0.410715325741236,0.360263404337537,0.5311699207319319,0.4291682161062048,0.8217925338811571,0.8510548563387547,0.6327472907659343,0.6345675716583129,0.5482940412626273,0.6028160767938132,0.5346261545621518,0.4010939772399565,0.3740610957654492,0.3980646607553525,0.8270125326326973,0.3483658077069134,0.2407169607254985,0.2944894685264268,0.8364020929235738,0.5242229750984432,0.4109295513228387,0.5645542594334234,0.5385694042525695,0.6204691707675878,0.252627641267669,0.569500421780499,0.5872478778983917,0.5945816757050818,0.5365474535200655,0.4756579633617741,0.2467048286618611,0.3425044418055721,0.3220081017796431,0.2977782597660854,0.3822675910627906,0.3873576540159454,0.4703223218200161,0.826259389767279,0.6187679858849533,0.3090570928701787,0.294493754684586,0.5951049439805558,0.3541925610037327,0.218305799302609,0.2553453541909791,0.3532412480020395,0.5657676662780852,0.616890399042421,0.7951145146873421,0.4577646730021317,0.4321669045854777,0.5263271443676061,0.5454190788039156,0.5717433774589836,0.5578896090222286,0.6437218772623696,0.2159514175977596,0.6116935263838981,0.7982980687855818,0.2045963538625954,0.4220936301286492,0.5644195001609916,0.4912201526858931,0.0917056135659015,0.8356170593831781,0.8323495096154635,0.8388041131730827,0.8310494866282918,0.8228076868955103,0.8529865983362007,0.8287069148067604,0.8237268508116756,0.838601651097981,0.8228076868955103,0.8388093066220972,0.8388255746200572,0.8211655537640642,0.8382623868222732
ari,tabula_sapiens,0.3846419084718545,0.3931159506340905,0.2567697380103159,0.2888933462003714,0.3890515251210439,0.3687433415266322,0.3837617927384215,0.3762303041221599,0.2611367342885758,0.2119718011011797,0.4238971251400298,0.4526206928686888,0.4439742079671355,0.3202146702780132,0.2948288698154439,0.4308678700911632,0.4028416228658786,0.4047060607576445,0.3017492288040476,0.2801650542463136,0.4513159136559758,0.4065756599442139,0.4325123268481781,0.3398814016852247,0.3944581184124244,0.4623877643239594,0.4628783383865425,0.4688812231930772,0.4611402787981084,0.4670822527801861,0.4419684523884518,0.4232751654163396,0.4441752918896955,0.3569615847151048,0.4506597795649078,0.3934781289041867,0.3994848774901838,0.4180075435410459,0.3289491565379416,0.3537788714190856,0.3867233631660003,0.413278857929122,0.3484981511265827,0.3816556563395868,0.4191982731044283,0.4273787860358232,0.411276601031444,0.4038175464136903,0.4200331603143059,0.4275358685854656,0.4209892122937744,0.4625793322476479,0.4609863527559973,0.4457731847069932,0.3661770454680116,0.3754504637257331,0.4683941314855891,0.4007113507255201,0.4438206756978329,0.4149786139765601,0.4030483333984496,0.4367823986797326,0.4227463409176967,0.4377306250093766,0.382846859492493,0.328935606196634,0.3710577480186007,0.4162322955888193,0.4198567008532723,0.4656964007970056,0.4636971850893147,0.364852458842873,0.3328309023760871,0.4780272527273722,0.2965263699807786,0.3455523241662657,0.380336819917387,0.4386418330905452,0.3814959324743922,0.3670169359693352,0.3805032597101861,0.3869027363259117,0.4693367966970375,0.3395938727346023,0.450926167532351,0.4182223654594346,0.3874837438144011,0.422133343900602,0.3837471789192592,0.3302207300422139,0.3955503451106478,0.4195336195923024,0.3810691037388192,0.4619622767055146,0.4723611958108398,0.3750360231236086,0.4029152338926086,0.3864996764272352,0.42624747402855,0.4451731243093315,0.4387752382152022,0.4529751769891299,0.448516045467772,0.3934781289041867,0.3966969893141606,0.3857671402134174,0.2948288698154439,0.2801650542463136,0.3944581184124244,0.4670822527801861,0.4506597795649078,0.2119718011011797,0.4486295800102011,0.451983404883204,0.4460761754917124,0.4484316089372893,0.4327297226958649,0.4593260178070485,0.4287496480940002,0.4632430218011383,0.4435404468477352,0.4327297226958649,0.4486295800102011,0.4498585722582018,0.4520046147763867,0.4629663011277883
ari,celegans_embryo,0.7106186623561105,0.708697405640551,0.5994214454449556,0.5583098811974468,0.7355259728696472,0.3818245266379124,0.5386120843575403,0.445274022300711,0.3148214859561873,0.1004365605698689,0.7238787336578387,0.5280380668005867,0.6593035048243072,0.3928500398880334,0.3818155221801366,0.5401499179599059,0.7030156004075653,0.7067015326929931,0.5583887139825054,0.4285000630320115,0.714208617517692,0.6932593905171668,0.6998113373552873,0.5558103846714151,0.6014232125147555,0.5996337233579709,0.5878591120393934,0.5962000766045457,0.632280838820167,0.6660742348043557,0.748487445632555,0.7458143988277867,0.7414284990673796,0.4461147550404993,0.7160317071261421,0.6075422793059501,0.5886177768921232,0.5817893673215526,0.7088281913003376,0.7346027656352759,0.5190280698409202,0.7060533981384524,0.3008022742418991,0.3820360038772932,0.4408522427550673,0.4681371503036164,0.6873447176624343,0.7143401846679029,0.6517903359722736,0.7213128709373348,0.5810838352831433,0.7622787537412489,0.7484659239178216,0.7488720235251883,0.620688560675888,0.6239799568633695,0.7029093615839952,0.4695255164881653,0.6641027004368342,0.7316283097663393,0.7383770210308553,0.5679846186190879,0.7481897228238533,0.5979458875318465,0.6306356698199396,0.2705567710205451,0.413300738118428,0.669340055833775,0.7729808356946235,0.6865618744045731,0.7454312936103087,0.7224591716361946,0.7053417552711366,0.6958516750713865,0.3104247031160275,0.3886083599436907,0.3980760521111349,0.6005885830253136,0.6750620552482637,0.7315005079872217,0.7111091243946445,0.5821653049448791,0.6657023516089223,0.588492601455973,0.6800258900124945,0.7616811181786468,0.605804288734498,0.5768794911496118,0.6900010131493939,0.4375280366754246,0.471247599747062,0.6808308207553426,0.7274546608554397,0.6951933946326377,0.6968129844255674,0.5958367505346659,0.7311599285406268,0.3818245266379124,0.4681371503036164,0.7399676293841617,0.7471812810143887,0.7046582563036173,0.7483018527920922,0.6419213930239612,0.7004733031370354,0.5733803839317937,0.3818155221801366,0.4285000630320115,0.6014232125147555,0.5982895030055522,0.7160317071261421,0.2915013764337931,0.4392042339015006,0.4179064394367326,0.4131733503936124,0.4020033522116148,0.382571079033203,0.4063302880400282,0.4109725284350841,0.4305642843865124,0.4189120835352262,0.4036615626404463,0.4392042339015006,0.4036615626404463,0.4135144241603635,0.4377048053575277
ari,ocular_atlas,0.5974304107601287,0.5905182560879775,0.1881990477494343,0.1379569998474709,0.6034122297528904,0.5291008535241788,0.5450169396276764,0.5311720477224839,0.3725520333040588,0.0695649719136241,0.6934816856253234,0.6762549590139876,0.6802348647103329,0.3218485916100955,0.2404307931271206,0.6650210004740317,0.6420429532619094,0.6406202988462553,0.3778777757985999,0.4687534486037187,0.6820084126086006,0.6572021070492218,0.6729246064974633,0.6312687586830649,0.6423499474414915,0.6661469114969367,0.6804745172419201,0.6627456817770441,0.5933959881764511,0.6446498011425978,0.6776000731391904,0.6747647436509607,0.678460768339341,0.3675377627791307,0.6409985165867866,0.3647481850390293,0.3806583859685049,0.3910900646279271,0.3696601983160997,0.2233407738570587,0.5910751222123269,0.6187914127715353,0.3424115751159806,0.3838281545428251,0.5401220241843858,0.5528250040726337,0.6441354400963808,0.6673772960579146,0.6517168069433995,0.6572302891284747,0.6777323739050134,0.6715222686256973,0.6605957020689661,0.6574742641627028,0.3516533099913004,0.3506950229686308,0.5934814318964784,0.5434264535865846,0.6803519579487638,0.6396931000944075,0.6006499772728957,0.667673450816762,0.6669477616999049,0.388289256806258,0.2934656635505531,0.2129263081761667,0.4396144380583785,0.652579061952365,0.662669038340199,0.6584500500764814,0.6567987301309456,0.2792789938867187,0.3349114043349365,0.5939863007971622,0.4096833914632089,0.5327576797754896,0.4556015264759708,0.6876135904757968,0.5705418848456594,0.6393419862163341,0.6412645761520815,0.5763902710990111,0.6509271149524338,0.5665391502734761,0.5437774596140322,0.657177357691622,0.3781004672697056,0.3849502307750803,0.6077007406634802,0.4952854399169786,0.5508649595886744,0.6610320036978682,0.6254242439332334,0.656723611238121,0.681245615756797,0.3742992318392875,0.6033163662878626,0.5203919319181752,0.5191479276584857,0.6768905523339946,0.6598639022891979,0.6829640224969407,0.6659664619783469,0.3647481850390293,0.3326000265010391,0.3506950229686308,0.2404307931271206,0.4687534486037187,0.6423499474414915,0.6446498011425978,0.6409985165867866,0.0695649719136241,0.6342244732386771,0.6305011945041018,0.6312868793802409,0.6043672209488625,0.5743879176814818,0.6048918429085005,0.5950443413632361,0.6435317932192214,0.600532520911793,0.5743879176814818,0.6474797860259021,0.615563570011645,0.6415419955255467,0.6520944977621602
ari,tabula_muris,0.6779517428538095,0.6688328713390008,0.4541995731809957,0.4280589727316664,0.6605881422160448,0.5450106340765963,0.5572297829634291,0.5442408778867374,0.360066499310844,0.1522422557696728,0.7370148989845097,0.7402897277031657,0.7394053301199806,0.3869317150073186,0.2509975336871284,0.7080967613511099,0.7452160456002093,0.7324192424165499,0.4600006615873847,0.5406418786916092,0.6715559626148886,0.7346887063368757,0.7049847883239556,0.712189364288812,0.7033044540578077,0.6742259955605454,0.676984608987182,0.678783018208459,0.6307141891356337,0.7271978947826774,0.6722480346180654,0.6642584602235432,0.6946049281916556,0.6385508640508178,0.3088774387265935,0.6045261792795183,0.5862004510134349,0.5705475426086942,0.527949243512559,0.5749819007417947,0.6562207796390054,0.6611414790459306,0.331804225524566,0.3161593315350134,0.6598635277681759,0.7861873199202087,0.6788180146326525,0.7256014377108728,0.7190687973044426,0.7089293973356998,0.6970802531347486,0.6775666199038708,0.6553007474120541,0.6540712528648805,0.5842893131165732,0.5699720734727618,0.5923104198973262,0.5659166080973144,0.7529127725735726,0.5563263587205439,0.6524302069004563,0.6137220977862378,0.6279122993999496,0.5134590950792802,0.6095891266014182,0.2252346266103372,0.4930323797380886,0.6670339225618612,0.6801967866871227,0.7112597911184978,0.6491906698162436,0.5794896589540702,0.5713950644829565,0.5346445418088083,0.432285384633224,0.5696974171075061,0.6504433079623924,0.7624861313046025,0.5676469820015253,0.6028962653289444,0.7329849775700307,0.5337327721280957,0.693567312038486,0.5266321968234645,0.6264642678712202,0.665528898949831,0.5510884288680131,0.5028125705114731,0.6570787009638872,0.4606753930799624,0.7206406831246343,0.7345564954130508,0.7179688685463065,0.6659602446442219,0.6284031438775146,0.541371376006816,0.6766573474902859,0.5689705161204294,0.6753866444177465,0.6993440693345203,0.6506195440796909,0.6784773270876309,0.6722480346180654,0.6073153935379114,0.6500686503707144,0.5631411487126422,0.2509975336871284,0.5406418786916092,0.7033044540578077,0.7271978947826774,0.3088774387265935,0.1522422557696728,0.6817395931609546,0.6880989530470856,0.666321503022878,0.6809482711764244,0.6679553515275124,0.6712170805636712,0.675156492228083,0.6686779264655353,0.6938398916656817,0.6679553515275124,0.6678029650748573,0.661050387141089,0.6591053223888436,0.6611130459604015
ari_batch,dkd,0.830167676379871,0.8311301088045624,0.9794775739260316,0.9861265498144208,0.8293185772501556,0.8468804520016556,0.8479137152839001,0.8655002392923377,0.8496645045230309,0.9946773225570638,0.6757307911344561,0.6812829701742192,0.6904679679778654,0.5831903766175587,0.8463731834200103,0.685976372159946,0.8330462119353693,0.7934932445720911,0.9812917838152072,0.8447650503539418,0.6461188037444986,0.6477601340987144,0.6557047623690206,0.8538008589589092,0.8147811068624214,0.8299321000449505,0.8175017857476784,0.8364350707445349,0.8848978162519636,0.8826159017876601,0.8411736486426955,0.8797233899731038,0.8487062389887868,0.970883088276454,0.9689059437492225,0.8526256265994538,0.8525948861890574,0.8519682891890107,0.8628400277399552,0.8943661950002281,0.9187902824871792,0.952016373558117,0.9505301949919932,0.87803694349391,0.8418276088229812,0.8396615587607568,0.8214755530844408,0.8019180009463284,0.8352650765634418,0.6949163964777755,0.8314533711156731,0.8310372989970445,0.8472781665158144,0.8523970067459856,0.8718334493043486,0.8475073136884187,0.8418186522576143,0.8509045783620678,0.6869131857208417,0.8332771053982535,0.6969149883558095,0.8434869357276591,0.8513312878666074,0.8623515981525828,0.9514144164056696,1.0,0.8450557249400128,0.8238327734310947,0.8380057462282222,0.8364453499485516,0.8602022797121256,0.8787099383927356,0.9976039671293478,0.8365592079786232,0.8553664396704964,0.8510641718922412,0.6732126109866026,0.6913538328852862,0.9211794236881342,0.8467778119653211,0.843444659365882,0.6669602877054525,0.8492765129296914,0.8442341814030173,0.9820364484574046,0.8511558552178131,0.8622656867558831,0.8495553183267416,0.9654791650376168,0.8484022148667864,0.6723738946850002,0.6563390740789473,0.8424716553020436,0.8430588069124941,0.9254711707959726,0.861175981773865,0.8201915865601914,0.8473804164049866,0.8434245896721403,0.8287964932249501,0.8378812874782711,0.827968234200479,0.841638179596075,0.8526256265994538,0.8409181296986232,0.8700218140822475,0.8463731834200103,0.8447650503539418,0.8147811068624214,0.8826159017876601,0.9689059437492225,0.9314873181188964,0.8531640904310368,0.8676731810245913,0.8576696682615759,0.8724405527742395,0.8569416765134444,0.8683560902177074,0.8692663201303429,0.8553963011954356,0.8542388354325101,0.8569416765134444,0.8531640904310368,0.8537884125611105,0.8647581796745043,0.8551553589899586
