Metric,Dataset,harmonypy_scale_ilisi,harmonypy_scale_pcr,harmonypy_sel_ilisi,harmonypy_sel_pcr,harmonypy_sel2_ilisi,harmonypy_sel2_pcr,harmonypy_sel3_ilisi,harmonypy_sel3_pcr,harmonypy,liger,liger_scale_ilisi,liger_scale_pcr,liger_sel_ilisi,liger_sel_pcr,nmf,nmf_scale_ilisi,nmf_scale_pcr,nmf_sel_ilisi,nmf_sel_pcr,pca,pca_scale_ilisi,pca_scale_pcr,pca_sel_ilisi,pca_sel_pcr,pca_sel2_ilisi,pca_sel2_pcr,pca_sel3_ilisi,pca_sel3_pcr,sca,sca_scale_ilisi,sca_scale_pcr,sca_sel_ilisi,sca_sel_pcr,sca_sel2_ilisi,sca_sel2_pcr,sca_sel3_ilisi,sca_sel3_pcr,scanorama_correct,scanorama,scanorama_scale_ilisi,scanorama_scale_pcr,scanorama_sel_ilisi,scanorama_sel_pcr,scanorama_sel2_ilisi,scanorama_sel2_pcr,scanorama_sel3_ilisi,scanorama_sel3_pcr,scvi,scvi_scale_ilisi,scvi_scale_pcr,scvi_sel_ilisi,scvi_sel_pcr,seurat,seurat_scale_ilisi,seurat_scale_pcr,seurat_sel_ilisi,seurat_sel_pcr
kbet_pg_label,immune_cell_atlas,0.26359316822538237,0.23511390668231716,0.3846614660087746,0.4190168690249784,0.35406635567095646,0.3800486063148872,0.3787491957178686,0.41632545228641515,0.22582010920569345,0.5541965514910513,0.5652669649140017,0.5668566376625741,0.5785084554976048,0.6917151808372088,0.18121850896168176,0.20291621329229542,0.19226952765017083,0.2602962356447823,0.2658898822890597,0.15847370080342596,0.19262699230722397,0.18761817216865065,0.2890169834750309,0.30307014901120366,0.314859816046851,0.3225464943920132,0.37088432908918545,0.36594259180168515,0.15736392906402177,0.1670135091686753,0.17038818130686273,0.21165817069161535,0.2037902669405193,0.2431892018128501,0.24013267373894862,0.28416017370964225,0.3158565866661793,0.30402388933419566,0.1956599400423722,0.20808254290453848,0.20657367720098815,0.2607503925301217,0.27212270921153187,0.23503013714206647,0.23693809032314997,0.21751385885474053,0.2240094306775165,0.19394785589906496,0.22027847218880064,0.2253135537822338,0.3234716912758815,0.33685493340739353,0.17368113379071284,0.17300325534436198,0.17069527400096665,0.19668742041195333,0.1870269667284523
kbet_pg_label,mouse_pancreas_atlas,0.22766707090469962,0.22971911549981147,0.32456588385923424,0.33016400815890956,0.20742195645948833,0.20750411953879008,0.19769555671782732,0.1894738739413392,0.22273542044606093,0.6084017495945221,0.608917840081039,0.6173466188558738,0.6648302557747277,0.6994609385051783,0.11997218607532394,0.13871232474933812,0.15055186494044528,0.20400901168343846,0.25382637595066404,0.08499600003478472,0.10899376258340461,0.10650724920655302,0.2221527441249846,0.2080670077593171,0.2048440422151057,0.20322220228970964,0.20303977142346674,0.1920597087129433,0.08956897939197081,0.10056950901497534,0.09597269675058577,0.1539619892499535,0.1347228340379903,0.15762008509994982,0.13827887568463737,0.1969215620238902,0.19423567951955178,0.8673548803378821,0.15503837496663847,0.17055960381426513,0.16681032128466844,0.27375493285160063,0.24437036082276345,0.20963897491293776,0.2127649711498777,0.22822875334845896,0.22990115747024317,0.1854585472721672,0.19841104624896808,0.19692836892031101,0.3305954007743675,0.27239932717017207,0.20366213060757443,0.1890418144636622,0.19339791867232875,0.21046339953304416,0.2122838854449965
kbet_pg_label,tabula_sapiens,0.43508595782210113,0.4315121860695663,0.49096459158403505,0.48016140081893044,0.508839871985773,0.5029374430682549,0.5288705976282995,0.5390867563226422,0.43030175548689475,0.5802005010009503,0.5808592956895022,0.5838766352691744,0.6066131977308757,0.6314844490254392,0.42323014092439515,0.43237960752930926,0.42914505635729794,0.48187016442048847,0.49614466248514577,0.40414788098799503,0.414848579326318,0.4099279634756356,0.45228881857354925,0.45330865150133987,0.4841134758176,0.4823102712953901,0.5156918255360919,0.5207046115986182,0.40276229122178575,0.4075410369047497,0.4101888285141951,0.41950538465973286,0.41931602132205675,0.4361320492724605,0.43555723406542246,0.4705610651178575,0.4720685987527264,0.43889898823744755,0.447628797002422,0.4589458190311064,0.4550869070850722,0.4833712616114229,0.47862978611122636,0.4913027470214474,0.4805466161182056,0.4926698443480108,0.4907334049858551,0.4404487672895152,0.443430052022836,0.4458213662636676,0.4670374597740934,0.46132785866264486,0.40982301972809576,0.39531135547135965,0.4032019677465722,0.3786567576835181,0.40242534947346936
nmi,dkd,0.8297010347332875,0.8315204542036111,0.13435245868481302,0.09998074585810193,0.15448296986266633,0.05814539395784411,0.09393786751715498,0.015259310224936136,0.8332829702287122,0.7922495447193417,0.7639856078107758,0.7718942310554477,0.7033227958588917,0.14679278342999852,0.8009783559868456,0.8032514635076676,0.8024610374834856,0.6554932110014662,0.8049870107556376,0.7866089832401945,0.8197588388585778,0.8145269638069667,0.14062518816849984,0.6526206193827913,0.10570164639937275,0.08181130817069815,0.05598041648398025,0.02658754325542221,0.7875917016239198,0.8058552376833172,0.7845869940855388,0.6036546220506787,0.7233919285849035,0.49505777137699064,0.6486899994213111,0.3423608156986953,0.3337467117052669,0.21811216673014888,0.8287904184583793,0.8247548137092878,0.834914110685634,0.7031158153627695,0.8043801966709462,0.7932260692305406,0.7984082790377722,0.7661506738239233,0.7808140863618143,0.8295271889822867,0.69044201599503,0.8326647204146463,0.17383330087787227,0.45739667009821167,0.8029180211372557,0.7908888140867831,0.7976474742412694,0.7500616795497483,0.6438747526022764
nmi,gtex_v9,0.6843308448366897,0.7002930627945816,0.22692601228620635,0.2010191403415186,0.19527735219920378,0.1332127437705214,0.10899361357793401,0.07969211488500108,0.7626569458226038,0.6544399423890409,0.6351208101943483,0.6468112070324349,0.6544399423890409,0.6544399423890409,0.8296374465001127,0.8075440169881758,0.8163712627275581,0.6556703980186716,0.5666753851425576,0.8267486541323225,0.8114451103219483,0.8339231786838864,0.3336574465287557,0.3412228841149334,0.22552107123416584,0.20423977982349453,0.10715338915586445,0.10268871023738303,0.8272622598004755,0.8289355419852382,0.8260455103841609,0.6419115886737824,0.665625600230783,0.44974239317586956,0.5970603661502962,0.3123135483723004,0.2851810644090017,0.17303716829235954,0.8342169226118187,0.8414948501347934,0.8341847251559634,0.40019310957689197,0.41666433497289823,0.4794872563643956,0.5334941677789722,0.4372387092608397,0.44915139184489805,0.8424099136858892,0.8278151424538897,0.8329903162216249,0.28707259206052743,0.2531886908740469,0.6232734029760661,0.6189527855067748,0.6189411049886541,0.516518397508349,0.514497028366708
nmi,hypomap,0.719455875262779,0.7007714797364276,0.4518221422738533,0.641786832864317,0.23217299045034206,0.14390666972144028,0.16066660724653975,0.07099237003510218,0.6954342323484057,0.5915177960143743,0.629314109316058,0.5599162017384219,0.6246728082382553,0.27876300030882045,0.6457155306291747,0.6453244045113893,0.6451983583420162,0.4930511333228932,0.7684177031067981,0.6209886983948303,0.6291789456522152,0.6256434726476305,0.295696211211855,0.45915868055671577,0.17252866891254817,0.494633422438005,0.08006094484941537,0.041184456631484026,0.608231036399481,0.6100019540517825,0.6292698949751474,0.5999146194589793,0.6640604561256576,0.581950151139932,0.6232403693265849,0.3945964536343785,0.41308210855356436,0.061404836126581354,0.6117288576015677,0.6110919650215461,0.6173359397443213,0.7792668315933781,0.6488345928820815,0.7825299715903804,0.7034176518353743,0.7946592556341877,0.7215388567569119,0.6013856921670454,0.6126844801710577,0.6096621820188339,0.7533619686920422,0.696441782962041,0.6480951897026687,0.6589503344580914,0.6583560475902517,0.6543715142373816,0.3545148260565142
nmi,immune_cell_atlas,0.7392127351747417,0.7417648936062987,0.40231180728965343,0.16018006035217722,0.24993902097946213,0.12212911663576605,0.1797140722224742,0.08568762359107848,0.7320552017940154,0.6042436963843979,0.5971606701931157,0.6014105829220378,0.5457249134071656,0.23697098833877223,0.6651457366278889,0.7019675330263695,0.7058361328480918,0.6321911906377007,0.7062992471884096,0.6529976804832488,0.6725504916719905,0.6782140843876932,0.2510385889233221,0.21607035411175288,0.15148233321794882,0.14189075589666458,0.09803768449067038,0.08896489677923688,0.6504249246160582,0.6767290635109814,0.6804622337269868,0.5484454752805318,0.7053681930762334,0.4920423104954089,0.5873091058622146,0.42570641939154447,0.3445970537959557,0.012735003071589524,0.7514002804133983,0.7698956558911904,0.7615323945072148,0.5339352118676544,0.6545164701383932,0.5133567039037883,0.318876610738093,0.46162093343972777,0.26923620756577427,0.7790043656383868,0.7770323793785167,0.7690811020613783,0.5479886495414918,0.48503368466472224,0.7635626878260482,0.7640520928446873,0.7657457085000303,0.7336106570466876,0.6088681474713669
nmi,mouse_pancreas_atlas,0.7552267039412038,0.7833714654636318,0.2987343037477887,0.30256536563342884,0.2237540262754239,0.15837154637225828,0.197871531730405,0.06505207336291487,0.7961780197320524,0.6297399349047343,0.6238689281830503,0.6082883608307673,0.5330294537527605,0.20192711547683306,0.7122504939887375,0.7454051929821207,0.7476448891771085,0.6775367925363232,0.8030399421937655,0.6924517401543767,0.6645374364258868,0.6951580217468054,0.31391738642510564,0.3710975199464527,0.18361375942692973,0.15453192848361222,0.12779364574214028,0.06891943867416331,0.6844746965800448,0.6704591682757649,0.6814001895064787,0.6320135995454537,0.7283074578435007,0.503202626370646,0.6963086887648777,0.3772042589146398,0.39166156174115924,0.0004004300705296859,0.7228709408079564,0.7031308562910098,0.7347267767356761,0.5045616424786176,0.7264480634237299,0.41745763114839546,0.4321673544637028,0.36339777472326495,0.33822296132508745,0.8449433342707288,0.84147018228292,0.8387473917581872,0.23715028609027367,0.6499863403345959,0.6207610307730309,0.6108052672075756,0.6112384742771585,0.5525675136652713,0.5765998423403269
nmi,tabula_sapiens,0.69953603358072,0.7012409636175363,0.5779907288999714,0.5996343396008423,0.37737075370000495,0.3666429534748545,0.24629738161397177,0.19410736009654878,0.7065292584921632,0.6392888314104179,0.6298243622587741,0.6359708213367706,0.5395507619789244,0.49980960447764944,0.7549130946611188,0.7561414230307371,0.7541899655992115,0.6069912138406717,0.6203230502460677,0.7493782931605866,0.7389136636047152,0.7456006422833608,0.6473136055519699,0.6560092396826461,0.41201740996812897,0.4150613583967734,0.24602756451758193,0.22170075673841658,0.7506749880810007,0.7413428735994545,0.7525380907598996,0.7176780854651419,0.7463193232093824,0.6998872667964494,0.7277561809585038,0.6298163047571841,0.6395759928858424,0.19587908148970432,0.7577818289143798,0.7605420493448231,0.7602746081677638,0.7534215737873777,0.7583796341054606,0.7463309124281244,0.7560768874489247,0.7455739551436705,0.7523326765149448,0.7578218151332008,0.7606628369979175,0.7595193467376955,0.7205087641290486,0.7502742908002186,0.6697164726677929,0.6628771496536182,0.6616427297051652,0.6166401139681907,0.640572535890871
nmi_batch,dkd,0.9491638757430991,0.9496075333754351,0.9902083127889382,0.9904911458137768,0.9889475939352578,0.995481106959906,0.9905124418137204,0.9974994334828836,0.9495114071593778,0.9520761133505703,0.9548683964154859,0.95803442730706,0.954194855285815,0.9934401079663329,0.8767407979484398,0.8785711908063657,0.8822388958883844,0.8746266592926024,0.9522095049362508,0.8802380095776162,0.9485848117051771,0.9236727855156562,0.9639580771668835,0.9529311986280414,0.9751576097396192,0.9796164297435294,0.9889641389268496,0.9946121143505352,0.8577237168729794,0.8865650801609696,0.8627516401858529,0.9418751981072875,0.9437320049073159,0.9606980154208069,0.9564813964933436,0.9784691638626068,0.9769415622376286,0.8672693790306294,0.948430231631446,0.9412939411580739,0.9485501193498821,0.9614213526879873,0.9614615939322299,0.9568208045980409,0.9514339447463543,0.9591359224830825,0.9562162265774858,0.9491037277233182,0.9463491653695981,0.953408227974706,0.9833134323043995,0.9811810727720304,0.9546191413402085,0.9543453030244555,0.9540587349450685,0.9561406970261597,0.9662150717582958
